block,trial_number,dots_direction,response_key,response_correct,opposite_strenght,opposite_label,step,signal_prop
0,0,0.0,right,True,0.15,high,9,0.6000000000000001
0,1,180.0,left,True,0.05,low,13,0.6000000000000001
0,2,180.0,left,True,0.15,high,9,0.6000000000000001
0,3,180.0,right,False,0.05,low,13,0.6000000000000001
0,4,0.0,right,True,0.05,low,12,0.6250000000000001
0,5,0.0,left,False,0.15,high,11,0.55
0,6,180.0,right,False,0.05,low,12,0.6250000000000001
0,7,180.0,left,True,0.15,high,10,0.5750000000000001
0,8,0.0,right,True,0.05,low,11,0.65
0,9,180.0,left,True,0.05,low,11,0.65
0,10,0.0,right,True,0.05,low,13,0.6000000000000001
0,11,180.0,left,True,0.15,high,10,0.5750000000000001
0,12,0.0,right,True,0.15,high,12,0.525
0,13,180.0,left,True,0.15,high,14,0.47500000000000003
0,14,0.0,right,True,0.05,low,15,0.55
0,15,180.0,left,True,0.05,low,17,0.5
0,16,180.0,right,False,0.15,high,16,0.42500000000000004
