block,trial_number,dots_direction,response_key,response_correct,step,signal_prop
0,0,0.0,right,True,0,0.8250000000000001
0,1,180.0,left,True,0,0.8250000000000001
0,2,180.0,right,False,2,0.775
0,3,0.0,right,True,1,0.8
0,4,0.0,right,True,1,0.8
0,5,180.0,left,True,3,0.7500000000000001
0,6,180.0,left,True,5,0.7000000000000001
0,7,0.0,right,True,7,0.65
0,8,180.0,right,False,9,0.6000000000000001
0,9,180.0,left,True,8,0.6250000000000001
0,10,0.0,right,True,8,0.6250000000000001
0,11,180.0,left,True,10,0.5750000000000001
0,12,0.0,right,True,12,0.525
0,13,180.0,right,False,14,0.47500000000000003
0,14,0.0,right,True,13,0.5
0,15,0.0,right,True,13,0.5
0,16,180.0,left,True,15,0.45000000000000007
0,17,0.0,right,True,17,0.4
0,18,180.0,left,True,19,0.35000000000000003
0,19,180.0,right,False,21,0.30000000000000004
0,20,0.0,right,True,20,0.32500000000000007
0,21,0.0,right,True,20,0.32500000000000007
0,22,0.0,right,True,22,0.275
0,23,0.0,right,True,23,0.25
0,24,180.0,left,True,24,0.225
0,25,180.0,right,False,25,0.2
0,26,180.0,right,False,24,0.225
0,27,180.0,left,True,23,0.25
0,28,180.0,right,False,23,0.25
0,29,180.0,right,False,22,0.275
0,30,180.0,left,True,21,0.30000000000000004
0,31,180.0,right,False,21,0.30000000000000004
0,32,0.0,right,True,20,0.32500000000000007
0,33,0.0,right,True,20,0.32500000000000007
0,34,180.0,left,True,22,0.275
0,35,180.0,right,False,23,0.25
0,36,180.0,left,True,22,0.275
0,37,0.0,right,True,22,0.275
0,38,180.0,left,True,23,0.25
0,39,180.0,left,True,24,0.225
0,40,180.0,right,False,25,0.2
0,41,180.0,right,False,24,0.225
0,42,180.0,left,True,23,0.25
0,43,0.0,right,True,23,0.25
0,44,180.0,left,True,24,0.225
0,45,0.0,right,True,25,0.2
0,46,180.0,left,True,26,0.17500000000000002
0,47,0.0,right,True,27,0.15
0,48,0.0,left,False,28,0.125
0,49,0.0,right,True,27,0.15
0,50,0.0,right,True,27,0.15
0,51,0.0,left,False,28,0.125
0,52,180.0,right,False,27,0.15
0,53,0.0,right,True,26,0.17500000000000002
0,54,180.0,right,False,26,0.17500000000000002
0,55,0.0,left,False,25,0.2
0,56,180.0,left,True,24,0.225
0,57,0.0,left,False,24,0.225
0,58,0.0,right,True,23,0.25
0,59,0.0,right,True,23,0.25
0,60,0.0,right,True,24,0.225
0,61,0.0,left,False,25,0.2
0,62,180.0,,False,24,0.225
0,63,0.0,right,True,23,0.25
0,64,0.0,right,True,23,0.25
